Year,Country,GDP,GDP per capita,Population,Government expenditure on education,Expenditure on tertiary education,"School enrollment, tertiary",Continent
2019,China,1.428E+13,10143.86022,1407745000.0,11.22663689,..,57.27544022,Asia
2019,India,2.83561E+12,2050.1638,1383112050.0,14.99800014,..,29.02300072,Asia
2019,Indonesia,1.1191E+12,4151.227554,269582878.0,17.33811378,..,37.92599869,Asia
2019,"Korea, Rep.",1.65142E+12,31902.4169,51764822.0,13.83082008,..,93.99891663,Asia
2019,Saudi Arabia,8.38565E+11,23405.70874,35827362.0,..,..,79.61306763,Asia
2019,Turkiye,7.61006E+11,9215.440875,82579440.0,11.1729641,..,117.0054703,Asia
2019,United Kingdom,2.85141E+12,42662.53537,66836327.0,12.01847935,..,65.96456146,Europe
2019,United States,2.15214E+13,65548.07078,328329953.0,15.51713371,..,87.88871002,North America
2019,Brunei Darussalam,13469235365,30748.30924,438048.0,..,..,31.39800072,Asia
2019,Israel,4.02471E+11,44452.23256,9054000.0,18.10598564,..,55.94453812,Asia
2019,Kuwait,1.38696E+11,31230.17295,4441100.0,..,..,50.47005844,Asia
2019,Monaco,7383944044,199382.8386,37034.0,5.029270172,..,..,Europe
2019,Oman,88060858257,19132.15227,4602768.0,13.05799961,..,45.17232132,Asia
2019,Qatar,1.76371E+11,62827.39696,2807235.0,8.636489868,..,21.09313965,Asia
2019,Singapore,3.76902E+11,66081.71992,5703569.0,16.47985268,..,91.08898926,Asia
2019,United Arab Emirates,4.1799E+11,45376.17084,9211657.0,13.56886959,..,46.48083115,Asia
2019,Afghanistan,18799444490,497.7414313,37769499.0,..,..,..,Asia
2019,Bangladesh,3.51232E+11,2122.037652,165516222.0,11.32900047,..,22.80500031,Asia
2019,"Egypt, Arab Rep.",3.18679E+11,3017.258336,105618671.0,..,..,..,Africa
2019,"Iran, Islamic Rep.",2.8365E+11,3276.753265,86564202.0,21.24452972,..,59.95137024,Asia
2019,Iraq,2.33636E+11,5621.181695,41563520.0,..,..,..,Asia
2019,Jordan,44502816901,4159.653754,10698683.0,9.949090004,..,31.59873009,Asia
2019,Lebanon,51605959131,8925.42186,5781907.0,8.144000053,..,50.3490181,Asia
2019,Malaysia,3.65178E+11,11132.10274,32804020.0,19.13800049,..,43.19800186,Asia
2019,Pakistan,3.20909E+11,1437.165833,223293280.0,11.59200001,..,11.34700012,Asia
2019,Philippines,3.76823E+11,3413.849044,110380804.0,17.88800049,..,31.23699951,Asia
2019,South Africa,3.8933E+11,6702.526617,58087055.0,18.69450378,..,24.01927948,Africa
2019,Sri Lanka,89014978344,4082.694049,21803000.0,..,..,20.21899986,Asia
2019,Thailand,5.43977E+11,7628.576033,71307763.0,14.49908352,..,49.14699936,Asia
2019,Bahrain,38653318085,25869.11291,1494188.0,9.869000435,..,53.6918602,Asia
